BuildingIndex,Year,Month,Day,Hour,Quarter,IndEnergy_1,IndEnergy_2,IndEnergy_3,IndSOC_1,IndSOC_2,IndSOC_3,EnsembleEnergy,EnsembleSOC,EnergyPImean,EnergyPImin,EnergyPImax,EnergyPIBootmin,EnergyPIBootmax,SOCPImean,SOCPImin,SOCPImax,EnergyDemand,SOCPercent
1,2018,8,8,23,3,2.44112495589744,16.0666332244873,17.76011174685,0,-0.783353328704834,0,8.27833167616483,-0.131057443117486,8.24399858466012,0,21.0897075441742,0,23.8213469636435,0,0,0,12.964709,0
1,2018,8,9,0,0,2.44112495589744,16.0444850921631,16.7814368366206,0,-0.779746770858765,0,7.96011377511295,-0.13045405479648,3.99666019798268,0,12.2625293110622,0,16.1699721039429,0,0,0,4.092459,0
1,2018,8,9,0,1,2.44112495589744,16.0374794006348,15.2519951880736,0,-0.779900312423706,0,7.95663805736205,-0.130479742776829,4.16040733231541,0,12.1559881344985,0,15.9740900383653,0,0,0,2.727498,0
1,2018,8,9,0,2,2.44112495589744,16.0353603363037,14.5441132181527,0,-0.780066251754761,0,7.95558673081121,-0.130507504941925,4.44093117781164,0,12.4024361854381,0,16.4189995438693,0,0,0,3.241077,0
1,2018,8,9,0,3,2.44112495589744,16.035270690918,13.7591068504737,0,-0.780244112014771,0,7.95554225525056,-0.130537261515434,4.17768795267895,0,12.3157421266706,0,16.4703486146663,0,0,0,6.415326,0
1,2018,8,9,1,0,2.44112495589744,16.0340366363525,15.951157107534,0,-0.779821634292603,0,15.1527312156731,-0.130466579681309,18.446257997083,3.75942146289465,33.1330945312713,1.36026350608672,35.1447882186734,0,0,0,2.626023,0
1,2018,8,9,1,1,2.44112495589744,16.0342998504639,14.4676582592879,0,-0.779981732368469,0,13.7434880394764,-0.130493364586283,16.365511114732,0.766097237791474,31.9649249916725,0.0263872814926096,34.2772172467268,0,0,0,2.112444,0
1,2018,8,9,1,2,2.44112495589744,16.0351238250732,13.8240202368745,0,-0.780153393745422,0,13.1320669439365,-0.130522084067418,15.5886724508799,0,31.7141620831759,0.000347314267010024,34.2890304489702,0,0,0,2.408798,0
1,2018,8,9,1,3,2.44112495589744,16.0361557006836,13.3162603241305,0,-0.780337452888489,0,12.6497226583129,-0.130552877733301,14.9584758028814,0,31.0493989109976,0,34.195010835534,0,0,0,2.408798,0
1,2018,8,9,2,0,2.44112495589744,16.035364151001,14.9805212427716,0,-0.779900193214417,0,2.80133552148685,-0.130479722832744,0.830555568115819,0,3.7204128280303,0,16.841153690356,0,0,0,6.502363,0
1,2018,8,9,2,1,2.44112495589744,16.0357818603516,13.5704968881283,0,-0.780065894126892,0,2.76607317810348,-0.130507445109673,0.977221941162904,0,3.94667413297977,0,16.4886720462872,0,0,0,12.642711,0
1,2018,8,9,2,2,2.44112495589744,16.0366592407227,13.1221783029129,0,-0.780243635177612,0,2.75486148247215,-0.130537181739098,1.26347965664148,0,4.56817065676478,0,15.8752519856775,0,0,0,3.773319,0
1,2018,8,9,2,3,2.44112495589744,16.0377063751221,12.9059355893552,0,-0.780434012413025,0,2.74945361501617,-0.13056903244144,1.30087966677414,0,4.47004873965468,0,13.4192488090837,0,0,0,2.408798,0
1,2018,8,9,3,0,2.44112495589744,16.0369415283203,13.9578004422037,0,-0.77998161315918,0,4.98040677954835,-0.130493344642199,4.48751212324212,0,11.1376940016124,0,16.6032133428854,0,0,0,2.408798,0
1,2018,8,9,3,1,2.44112495589744,16.0373573303223,12.6248289453124,0,-0.780153036117554,0,4.69781277308228,-0.130522024235166,4.38572160193177,0,10.7245328807634,0,15.1795852893882,0,0,0,2.408798,0
1,2018,8,9,3,2,2.44112495589744,16.0382270812988,12.476829991916,0,-0.780336976051331,0,4.66643657638682,-0.130552797956965,4.42375349711362,0,10.869555687079,0,14.6310898811576,0,0,0,2.408798,0
1,2018,8,9,3,3,2.44112495589744,16.0392665863037,12.572276788586,0,-0.780534029006958,0,4.68667162745971,-0.130585765528017,4.11473999366478,0,10.6961480383007,0,15.1141326983668,0,0,0,2.408798,0
1,2018,8,9,4,0,2.44112495589744,16.038516998291,13.020051689987,0,-0.780065774917603,0,9.56372904135648,-0.130507425165589,12.3717040369875,0.8663155301016,23.8770925438734,0.0332073505884444,25.721064069368,0,0,0,2.408798,0
1,2018,8,9,4,1,2.44112495589744,16.0389270782471,11.7780843111209,0,-0.780243158340454,0,8.65145620462008,-0.130537101962761,11.6606151752189,1.04515664106254,22.2760737093753,0.0382286964416351,24.0226935358458,0,0,0,2.408798,0
1,2018,8,9,4,2,2.44112495589744,16.0397872924805,11.9590189526843,0,-0.780433535575867,0,8.78435966209547,-0.130568952665103,11.7254481786116,1.23796021588839,22.2129361413349,0.103510756273405,23.7230032885303,0,0,0,6.580353,0
1,2018,8,9,4,3,2.44112495589744,16.0408172607422,12.3799108811506,0,-0.780637502670288,0,9.09352098152715,-0.130603076993035,12.0313567111755,1.39863245046818,22.6640809718827,0.0594187948716005,24.5079697913562,0,0,0,8.069373,0
1,2018,8,9,5,0,2.44112495589744,16.0400867462158,12.3244748786468,0,-0.780153036117554,0,12.5643518380012,-0.130522024235166,11.2828703549237,0.877677496975121,21.6880632128723,0.0454214126730314,23.0524309691564,0,0,0,26.395736,0
1,2018,8,9,5,1,2.44112495589744,16.040491104126,11.2570332148106,0,-0.780336499214172,0,12.5646685753813,-0.130552718180628,11.4298028059347,2.17711612936263,20.6824894825068,0.48295539237062,22.1899502568969,0,0,0,30.446532,0
1,2018,8,9,5,2,2.44112495589744,16.0413398742676,11.6915262322154,0,-0.7805335521698,0,12.5653334250705,-0.130585685751681,11.5782557539724,2.3885346875268,20.7679768204179,0.68706922358645,22.1556983499196,0,0,0,31.353532,0
1,2018,8,9,5,3,2.44112495589744,16.0423622131348,12.4415834147801,0,-0.780744433403015,0,12.5661342327861,-0.130620966836491,12.6065974327762,4.06807512302553,21.1451197425268,3.021847776456,21.9478331919394,0,0,0,24.599932,0
1,2018,8,9,6,0,2.44112495589744,16.0416488647461,12.0506704903661,0,-0.780243158340454,0,11.8678550774152,-0.130537101962761,13.5641669992322,4.48248471556014,22.6458492829042,2.90437021363812,23.9140201070165,0,0,0,7.391554,0
1,2018,8,9,6,1,2.44112495589744,16.0420455932617,11.339294716883,0,-0.780433058738708,0,11.8680882113455,-0.130568872888767,12.8203870410849,3.28004870871463,22.3607253734551,2.31076741348276,23.0661631301651,0,0,0,8.421655,0
1,2018,8,9,6,2,2.44112495589744,16.0428848266602,11.8842598795723,0,-0.78063702583313,0,11.868581379275,-0.130602997216698,12.6913625974949,2.65470475103559,22.7280204439541,1.18423399019728,23.8217066116958,0,0,0,3.153654,0
1,2018,8,9,6,3,2.44112495589744,16.0438957214355,12.9646326682611,0,-0.780855298042297,0,11.8691754224628,-0.130639514834724,13.0899252228121,3.0994303005343,23.0804201450899,1.87699721522008,24.0224947867266,0,0,0,2.16432,0
1,2018,8,9,7,0,2.44112495589744,16.0432014465332,12.4418677834259,0,-0.780336499214172,0,13.4925288584151,-0.130552718180628,15.1968179333386,4.64853234542848,25.7451035212487,4.00031461205685,26.2355660600448,0,0,0,2.143479,0
1,2018,8,9,7,1,2.44112495589744,16.0435924530029,12.3644199962273,0,-0.780532956123352,0,13.4927982043084,-0.13058558603126,14.4962876552392,4.34743007685298,24.6451452336254,4.1361665826372,24.8002664349887,0,0,0,2.196077,0
1,2018,8,9,7,2,2.44112495589744,16.0444202423096,12.8718750237837,0,-0.780743956565857,0,13.4933684292728,-0.130620887060155,14.5653206941963,3.70753239751987,25.4231089908726,2.87423658991973,26.0221668832775,0,0,0,2.250402,0
1,2018,8,9,7,3,2.44112495589744,16.0454196929932,14.2695673319851,0,-0.780969977378845,0,13.4940569036538,-0.130658701043649,14.4169235562164,2.68189721046227,26.1519499019705,2.07718639651955,26.5700381847385,0,0,0,2.577976,0
1,2018,8,9,8,0,2.44112495589744,16.0447444915771,13.8608222497288,0,-0.780433058738708,0,13.8608222497288,-0.130568872888767,18.6916007944193,6.95256855912278,30.4306330297159,6.76179350054964,30.5707575929059,0,0,0,3.046987,0
1,2018,8,9,8,1,2.44112495589744,16.0451278686523,14.7096524665618,0,-0.780636429786682,0,14.7096524665618,-0.130602897496278,19.5078379945442,7.63818388997618,31.3774920991122,7.63813430225056,31.3650180064782,0,0,0,10.114745,0
1,2018,8,9,8,2,2.44112495589744,16.0459442138672,15.0794812453445,0,-0.78085470199585,0,15.0794812453445,-0.130639415114304,19.7514519179606,7.60622605621101,31.8966777797102,7.45806552675103,32.0023561528086,0,0,0,13.357893,0
1,2018,8,9,8,3,2.44112495589744,16.0469303131104,16.6851969609262,0,-0.781088590621948,0,16.6851969609262,-0.13067854540735,21.2588084066583,8.57142265698003,33.9461941563366,8.45638117017566,34.0252978760544,0,0,0,11.39955,0
1,2018,8,9,9,0,9.75922953963964,16.0462760925293,16.7887809395211,0,-0.780532956123352,0,24.917721241613,-0.13058558603126,33.7878223444062,20.5355942191406,47.0400504696718,20.5540431243279,47.0194656947588,0,0,0,9.101689,0
1,2018,8,9,9,1,9.75922953963964,16.04665184021,18.4337142472502,0,-0.780743479728699,0,25.78730456702,-0.130620807283818,33.0780267352704,17.0578504538269,49.098203016714,17.0835714636443,49.0631434568839,0,0,0,16.035065,0
1,2018,8,9,9,2,12.1318105311448,16.0474548339844,18.8323035658491,0,-0.780969381332397,0,25.9987281704563,-0.130658601323228,32.5650891185801,16.1392820346959,48.9908962024644,16.1620614720527,48.9489802825451,0,0,0,16.075868,0
1,2018,8,9,9,3,8.19282765936953,16.0484294891357,20.3169004987398,0,-0.781211256980896,0,26.7841862437953,-0.13069906786991,33.3257182941871,16.9735415328111,49.6778950555632,17.0041422167494,49.6529204108684,0,0,0,36.971243,0
