CargingEent,UserID,CPID,Connector,Startyear,StartMonth,StartDay,StartHour,StartQuarter,EndYear,EndMonth,EndDay,EndHour,EndQuarter,TotalKW,Cost,Site,Group,Model
7748338,518475,50911,2,2018,9,6,9,1,2018,9,6,9,38,8,0,3,1,3
7748335,603985,50910,2,2018,9,6,9,1,2018,9,6,11,53,8,0,13,1,1
7748324,518622,50675,2,2018,9,6,9,0,2018,9,6,16,59,10,0,20,1,4
7748283,603006,51086,1,2018,9,6,8,54,2018,9,6,15,57,16,0,5,1,1
7748236,607216,51424,2,2018,9,6,8,44,2018,9,6,9,45,35,0,6,2,5
7748228,518149,50676,2,2018,9,6,8,44,2018,9,6,16,51,7,0,20,1,4
7748234,603606,51427,2,2018,9,6,8,39,2018,9,6,15,52,9,0,6,2,1
7748123,603902,50269,2,2018,9,6,8,23,2018,9,6,9,56,4,0,15,1,4
7748122,605058,51547,2,2018,9,6,8,23,2018,9,6,8,58,14,0,1,1,5
7748113,604836,50269,1,2018,9,6,8,22,2018,9,6,11,7,0,0,15,1,4
7748107,607933,51548,2,2018,9,6,8,22,2018,9,6,8,58,14,0,1,1,5
7748095,604819,51421,2,2018,9,6,8,19,2018,9,6,8,33,6,0,6,2,5
7748083,605192,50315,1,2018,9,6,8,17,2018,9,6,10,18,7,0,2,1,4
7748051,608664,50909,1,2018,9,6,8,9,2018,9,7,17,22,35,0,21,1,1
7748045,608057,50840,1,2018,9,6,8,8,2018,9,6,16,39,33,0,22,1,4
7747965,607855,51423,2,2018,9,6,7,57,2018,9,6,8,7,8,0,6,2,5
7747954,605082,51547,2,2018,9,6,7,53,2018,9,6,8,14,10,0,1,1,5
7747924,600424,50523,1,2018,9,6,7,48,2018,9,6,17,44,18,0,19,1,4
7747916,605751,50269,2,2018,9,6,7,47,2018,9,6,8,23,4,0,15,1,4
7747897,602178,51548,2,2018,9,6,7,43,2018,9,6,8,7,6,0,1,1,5
7747888,607916,50349,1,2018,9,6,7,42,2018,9,6,8,14,7,0,2,1,2
7747837,604899,50267,1,2018,9,6,7,32,2018,9,6,8,37,3,0,9,1,4
7747817,604895,50338,2,2018,9,6,7,28,2018,9,6,7,46,3,0,9,1,3
7747808,607976,50315,2,2018,9,6,7,25,2018,9,6,13,15,18,0,2,1,4
7747783,606909,51547,2,2018,9,6,7,18,2018,9,6,7,47,7,0,1,1,5
